date,amount,method
2026-05-10,3500.00,transa
2026-05-10,3500.00,BALANCE
2026-05-10,2500.00,transa
2026-05-10,5700.00,BALANCE
2026-05-10,8000.00,BALANCE
2026-05-10,3500.00,juppiter
2026-05-10,3500.00,BALANCE
2026-05-10,8000.00,juppiter
2026-05-10,4060.000,USDT
2026-05-10,3800.00,juppiter
2026-05-10,5500.00,card
2026-05-10,3600.00,card
2026-05-10,9100.000,USDT
2026-05-10,3500.00,BALANCE
2026-05-10,3500.00,card
2026-05-10,3800.00,BALANCE
2026-05-10,5700.00,card
2026-05-10,5700.00,juppiter
2026-05-10,5700.00,BALANCE
2026-05-10,3500.00,card
2026-05-10,5700.00,transa
2026-05-10,5800.00,transa
2026-05-10,2500.00,transa
2026-05-10,8000.00,juppiter
2026-05-10,3800.00,card
2026-05-10,2500.00,card
2026-05-10,3500.00,juppiter
2026-05-10,9100.000,USDT
2026-05-10,3600.00,transa
2026-05-10,5700.00,juppiter
2026-05-10,5700.00,BALANCE
2026-05-10,5700.00,juppiter
2026-05-10,3500.00,transa
2026-05-10,3600.00,BALANCE
2026-05-10,3990.000,USDT
2026-05-10,2500.00,juppiter
2026-05-10,2500.00,card
2026-05-10,5700.00,juppiter
2026-05-10,2450.000,USDT
2026-05-10,3600.00,juppiter
2026-05-10,5800.00,card
2026-05-10,3800.00,transa
2026-05-10,2500.00,transa
2026-05-10,3920.000,USDT
2026-05-10,2450.000,USDT
2026-05-10,5400.00,onlypays
2026-05-10,3780.000,USDT
2026-05-10,5600.00,nirvana
2026-05-10,8000.00,juppiter
2026-05-10,5800.00,transa
2026-05-09,3600.00,juppiter
2026-05-09,5600.000,USDT
2026-05-09,5400.00,transa
2026-05-09,2450.000,USDT
2026-05-09,3500.00,transa
2026-05-09,3600.00,juppiter
2026-05-09,8000.00,juppiter
2026-05-09,2450.000,USDT
2026-05-09,2500.00,transa
2026-05-09,2450.000,USDT
2026-05-09,2660.000,USDT
2026-05-09,3780.000,USDT
2026-05-09,3600.00,juppiter
2026-05-09,3600.00,juppiter
2026-05-09,4060.000,USDT
2026-05-09,5600.000,USDT
2026-05-09,3500.00,BALANCE
2026-05-09,2450.000,USDT
2026-05-09,5700.00,nirvana
2026-05-09,2500.00,juppiter
2026-05-09,5700.00,nirvana
2026-05-09,3500.00,transa
2026-05-09,3600.00,transa
2026-05-09,3800.00,nirvana
2026-05-09,5600.000,USDT
2026-05-09,3800.00,juppiter
2026-05-09,3600.00,transa
2026-05-09,2310.000,USDT
2026-05-09,3600.00,transa
2026-05-09,9100.000,USDT
2026-05-09,5400.00,transa
2026-05-09,5700.00,juppiter
2026-05-09,5400.00,BALANCE
2026-05-09,2520.000,USDT
2026-05-09,5400.00,BALANCE
2026-05-09,5400.00,BALANCE
2026-05-09,5800.00,BALANCE
2026-05-09,2520.000,USDT
2026-05-09,5400.00,transa
2026-05-09,5700.00,juppiter
2026-05-09,8000.00,juppiter
2026-05-09,2300.00,transa
2026-05-09,3780.000,USDT
2026-05-09,3780.000,USDT
2026-05-09,4060.000,USDT
2026-05-09,5700.00,transa
2026-05-09,5800.00,BALANCE
2026-05-09,2450.000,USDT
2026-05-09,2450.000,USDT
2026-05-09,2030.000,USDT
2026-05-09,5200.00,transa
2026-05-09,5200.00,juppiter
2026-05-09,3300.00,BALANCE
2026-05-09,3600.00,BALANCE
2026-05-09,3780.000,USDT
2026-05-09,2310.000,USDT
2026-05-09,4060.000,USDT
2026-05-09,8000.00,onlypays
2026-05-09,8000.00,juppiter
2026-05-09,5600.000,USDT
2026-05-09,2310.000,USDT
2026-05-09,3780.000,USDT
2026-05-09,3800.00,BALANCE
2026-05-09,5400.00,transa
2026-05-09,3300.00,transa
2026-05-09,3600.00,nirvana
2026-05-09,3600.00,BALANCE
2026-05-09,5400.00,transa
2026-05-09,8000.00,juppiter
2026-05-09,3600.00,BALANCE
2026-05-09,5400.00,juppiter
2026-05-09,5400.00,juppiter
2026-05-09,5800.00,BALANCE
2026-05-09,2300.00,BALANCE
2026-05-09,13000.00,juppiter
2026-05-09,2300.00,transa
2026-05-09,2660.000,USDT
2026-05-09,3600.00,transa
2026-05-09,5400.00,transa
2026-05-09,2300.00,transa
2026-05-09,3300.00,BALANCE
2026-05-09,3990.000,USDT
2026-05-09,2300.00,transa
2026-05-09,4060.000,USDT
2026-05-09,3300.00,juppiter
2026-05-09,5600.000,USDT
2026-05-09,5700.00,transa
2026-05-09,3780.000,USDT
2026-05-09,1610.000,USDT
2026-05-09,3300.00,transa
2026-05-09,2300.00,juppiter
2026-05-09,3600.00,BALANCE
2026-05-09,5400.00,BALANCE
2026-05-09,1610.000,USDT
2026-05-08,5600.000,USDT
2026-05-08,2660.000,USDT
2026-05-08,3300.00,transa
2026-05-08,2300.00,BALANCE
2026-05-08,8000.00,juppiter
2026-05-08,5400.00,BALANCE
2026-05-08,3800.00,juppiter
2026-05-08,3300.00,transa
2026-05-08,3600.00,transa
2026-05-08,5700.00,transa
2026-05-08,3600.00,juppiter
2026-05-08,2310.000,USDT
2026-05-08,5400.00,transa
2026-05-08,4060.000,USDT
2026-05-08,13000.00,juppiter
2026-05-08,8000.00,juppiter
2026-05-08,3300.00,transa
2026-05-08,8000.00,juppiter
2026-05-08,5800.00,BALANCE
2026-05-08,5400.00,BALANCE
2026-05-08,2660.000,USDT
2026-05-08,5600.00,BALANCE
2026-05-08,5600.000,USDT
2026-05-08,3300.00,juppiter
2026-05-08,8000.00,BALANCE
2026-05-08,5400.00,nirvana
2026-05-08,3800.00,BALANCE
2026-05-08,5400.00,BALANCE
2026-05-08,2520.000,USDT
2026-05-08,3800.00,BALANCE
2026-05-08,2310.000,USDT
2026-05-08,9100.000,USDT
2026-05-08,8000.00,BALANCE
2026-05-08,2660.000,USDT
2026-05-08,3500.00,BALANCE
2026-05-08,2310.000,USDT
2026-05-08,7500.00,card
2026-05-08,3300.00,BALANCE
2026-05-08,3800.00,card
2026-05-08,2660.000,USDT
2026-05-08,2310.000,USDT
2026-05-08,5400.00,card
2026-05-08,2900.00,card
2026-05-08,3600.00,BALANCE
2026-05-08,4060.000,USDT
2026-05-08,5600.000,USDT
2026-05-08,5700.00,card
2026-05-08,5800.00,BALANCE
2026-05-08,3600.00,card
2026-05-08,2660.000,USDT
2026-05-08,5400.00,card
2026-05-08,3300.00,juppiter
2026-05-08,5400.00,BALANCE
2026-05-08,3300.00,card
2026-05-08,5800.00,BALANCE
2026-05-08,3500.00,transa
2026-05-08,2660.000,USDT
2026-05-08,8000.00,BALANCE
2026-05-08,3300.00,transa
2026-05-08,5200.00,juppiter
2026-05-08,3920.000,USDT
2026-05-08,9100.000,USDT
2026-05-08,2450.000,USDT
2026-05-08,5800.00,juppiter
2026-05-08,3300.00,transa
2026-05-08,3990.000,USDT
2026-05-08,3300.00,BALANCE
2026-05-08,3300.00,card
2026-05-08,2000.00,nirvana
2026-05-08,3500.00,card
2026-05-08,2310.000,USDT
2026-05-08,3600.00,BALANCE
2026-05-08,3800.00,BALANCE
2026-05-08,3300.00,transa
2026-05-08,2310.000,USDT
2026-05-08,2310.000,USDT
2026-05-08,13000.00,juppiter
2026-05-08,3600.00,transa
2026-05-08,5700.00,BALANCE
2026-05-08,3300.00,transa
2026-05-08,1900.00,juppiter
2026-05-08,5200.00,juppiter
2026-05-08,5250.000,USDT
2026-05-08,3300.00,transa
2026-05-08,2000.00,juppiter
2026-05-08,5700.00,card
2026-05-08,5600.00,juppiter
2026-05-08,2310.000,USDT
2026-05-08,5800.00,juppiter
2026-05-08,2000.00,juppiter
2026-05-08,2450.000,USDT
2026-05-08,2660.000,USDT
2026-05-08,3920.000,USDT
2026-05-08,2310.000,USDT
2026-05-08,2310.000,USDT
2026-05-08,4060.000,USDT
2026-05-08,3800.00,BALANCE
2026-05-08,4060.000,USDT
2026-05-08,3300.00,juppiter
2026-05-08,3800.00,card
2026-05-08,4060.000,USDT
2026-05-08,5600.000,USDT
2026-05-07,3300.00,transa
2026-05-07,3300.00,transa
2026-05-07,5250.000,USDT
2026-05-07,8000.00,juppiter
2026-05-07,3300.00,BALANCE
2026-05-07,5800.00,BALANCE
2026-05-07,2310.000,USDT
2026-05-07,2660.000,USDT
2026-05-07,5400.00,juppiter
2026-05-07,3800.00,card
2026-05-07,8000.00,juppiter
2026-05-07,5800.00,juppiter
2026-05-07,2310.000,USDT
2026-05-07,3500.00,card
2026-05-07,2660.000,USDT
2026-05-07,7500.00,card
2026-05-07,5600.00,juppiter
2026-05-07,3300.00,transa
2026-05-07,5600.00,BALANCE
2026-05-07,3300.00,transa
2026-05-07,5800.00,transa
2026-05-07,3300.00,transa
2026-05-07,1900.00,card
2026-05-07,3300.00,card
2026-05-07,1900.00,card
2026-05-07,5600.00,juppiter
2026-05-07,3800.00,card
2026-05-07,5200.00,card
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,card
2026-05-07,3300.00,card
2026-05-07,3920.000,USDT
2026-05-07,4060.000,USDT
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,juppiter
2026-05-07,2450.000,USDT
2026-05-07,2500.00,card
2026-05-07,5800.00,juppiter
2026-05-07,5250.000,USDT
2026-05-07,2500.00,juppiter
2026-05-07,5600.00,transa
2026-05-07,8000.00,card
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,juppiter
2026-05-07,5800.00,BALANCE
2026-05-07,5600.000,USDT
2026-05-07,2500.00,transa
2026-05-07,8000.00,card
2026-05-07,2500.00,card
2026-05-07,1900.00,juppiter
2026-05-07,2500.00,BALANCE
2026-05-07,2500.00,BALANCE
2026-05-07,5200.00,juppiter
2026-05-07,5400.00,BALANCE
2026-05-07,5800.00,BALANCE
2026-05-07,5400.00,card
2026-05-07,5400.00,BALANCE
2026-05-07,3300.00,juppiter
2026-05-07,3300.00,juppiter
2026-05-07,5400.00,nirvana
2026-05-07,3920.000,USDT
2026-05-07,2310.000,USDT
2026-05-07,2500.00,transa
2026-05-07,3990.000,USDT
2026-05-07,2500.00,transa
2026-05-07,1750.000,USDT
2026-05-07,2310.000,USDT
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,transa
2026-05-07,8000.00,card
2026-05-07,3300.00,card
2026-05-07,5800.00,BALANCE
2026-05-07,8000.00,juppiter
2026-05-07,2500.00,juppiter
2026-05-07,5600.00,juppiter
2026-05-07,3300.00,BALANCE
2026-05-07,2500.00,card
2026-05-07,3800.00,transa
2026-05-07,2500.00,card
2026-05-07,5400.00,transa
2026-05-07,8000.00,BALANCE
2026-05-07,5400.00,card
2026-05-07,3800.00,juppiter
2026-05-07,3920.000,USDT
2026-05-07,2500.00,transa
2026-05-07,3500.00,card
2026-05-07,8000.00,juppiter
2026-05-07,2310.000,USDT
2026-05-07,2500.00,transa
2026-05-07,3300.00,transa
2026-05-07,5460.000,USDT
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,card
2026-05-07,5400.00,juppiter
2026-05-07,2500.00,card
2026-05-07,5700.00,card
2026-05-07,5800.00,BALANCE
2026-05-07,2500.00,card
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,BALANCE
2026-05-07,2500.00,transa
2026-05-07,5700.00,card
2026-05-07,1750.000,USDT
2026-05-07,5400.00,card
2026-05-07,2125.0000,LTC
2026-05-07,2500.00,card
2026-05-07,2500.00,juppiter
2026-05-07,3300.00,juppiter
2026-05-07,1750.000,USDT
2026-05-07,2500.00,transa
2026-05-06,2500.00,transa
2026-05-06,2500.00,transa
2026-05-06,2500.00,transa
2026-05-06,3300.00,transa
2026-05-06,3500.00,BALANCE
2026-05-06,3300.00,transa
2026-05-06,2500.00,juppiter
2026-05-06,3640.000,USDT
2026-05-06,2500.00,transa
2026-05-06,5400.00,transa
2026-05-06,5400.00,transa
2026-05-06,3920.000,USDT
2026-05-06,3300.00,transa
2026-05-06,4060.000,USDT
2026-05-06,2500.00,juppiter
2026-05-06,2310.000,USDT
2026-05-06,3800.00,juppiter
2026-05-06,3800.00,transa
2026-05-06,2500.00,juppiter
2026-05-06,2310.000,USDT
2026-05-06,5400.00,BALANCE
2026-05-06,3500.00,BALANCE
2026-05-06,3920.000,USDT
2026-05-06,8000.00,BALANCE
2026-05-06,5400.00,BALANCE
2026-05-06,5460.000,USDT
2026-05-06,3920.000,USDT
2026-05-06,13000.00,card
2026-05-06,6000.00,transa
2026-05-06,5400.00,card
2026-05-06,2310.000,USDT
2026-05-06,2000.00,juppiter
2026-05-06,3800.00,transa
2026-05-06,5700.00,card
2026-05-06,3800.00,card
2026-05-06,3800.00,card
2026-05-06,2500.00,juppiter
2026-05-06,3800.00,BALANCE
2026-05-06,3600.00,card
2026-05-06,5200.00,BALANCE
2026-05-06,3800.00,card
2026-05-06,8000.00,BALANCE
2026-05-06,5200.00,nirvana
2026-05-06,5800.00,BALANCE
2026-05-06,3800.00,BALANCE
2026-05-06,2500.00,card
2026-05-06,3300.00,transa
2026-05-06,3500.00,BALANCE
2026-05-06,3920.000,USDT
2026-05-06,3800.00,BALANCE
2026-05-06,2310.000,USDT
2026-05-06,13000.00,BALANCE
2026-05-06,2300.00,card
2026-05-06,5600.00,card
2026-05-06,5400.00,juppiter
2026-05-06,2500.00,juppiter
2026-05-06,5600.00,BALANCE
2026-05-06,2500.00,juppiter
2026-05-06,3920.000,USDT
2026-05-06,3800.00,card
2026-05-06,5700.00,card
2026-05-06,2500.00,transa
2026-05-06,3800.00,card
2026-05-06,5200.00,juppiter
2026-05-06,2500.00,juppiter
2026-05-06,3300.00,BALANCE
2026-05-06,3640.000,USDT
2026-05-06,3800.00,BALANCE
2026-05-06,5700.00,onlypays
2026-05-06,2660.000,USDT
2026-05-06,3920.000,USDT
2026-05-06,5200.00,transa
2026-05-06,5600.00,juppiter
2026-05-06,3800.00,card
2026-05-06,2500.00,juppiter
2026-05-06,3800.00,juppiter
2026-05-06,5400.00,juppiter
2026-05-06,5200.00,transa
2026-05-06,5700.00,BALANCE
2026-05-06,5700.00,juppiter
2026-05-06,2450.000,USDT
2026-05-06,3800.00,transa
2026-05-06,4060.000,USDT
2026-05-06,2450.000,USDT
2026-05-06,3300.00,BALANCE
2026-05-06,1900.00,card
2026-05-06,2500.00,card
2026-05-06,3920.000,USDT
2026-05-06,2500.00,nirvana
2026-05-06,3800.00,BALANCE
2026-05-06,2500.00,juppiter
2026-05-06,2500.00,transa
2026-05-06,3230.0000,LTC
2026-05-06,3800.00,card
2026-05-06,6000.00,juppiter
2026-05-06,3920.000,USDT
2026-05-06,5400.00,card
2026-05-06,2500.00,juppiter
2026-05-06,3800.00,BALANCE
2026-05-05,2030.000,USDT
2026-05-05,3800.00,juppiter
2026-05-05,7500.00,transa
2026-05-05,3780.000,USDT
2026-05-05,3800.00,juppiter
2026-05-05,2660.000,USDT
2026-05-05,6000.00,juppiter
2026-05-05,5100.0000,LTC
2026-05-05,5600.00,transa
2026-05-05,5600.00,juppiter
2026-05-05,8000.00,onlypays
2026-05-05,4060.000,USDT
2026-05-05,5600.00,BALANCE
2026-05-05,3990.000,USDT
2026-05-05,3800.00,BALANCE
2026-05-05,6000.00,transa
2026-05-05,3600.00,juppiter
2026-05-05,13000.00,BALANCE
2026-05-05,3500.00,BALANCE
2026-05-05,3300.00,transa
2026-05-05,2500.00,juppiter
2026-05-05,3500.00,card
2026-05-05,3800.00,card
2026-05-05,5700.00,card
2026-05-05,5700.00,transa
2026-05-05,3800.00,card
2026-05-05,3300.00,transa
2026-05-05,3300.00,BALANCE
2026-05-05,2500.00,transa
2026-05-05,4060.000,USDT
2026-05-05,8000.00,card
2026-05-05,3300.00,card
2026-05-05,3300.00,juppiter
2026-05-05,3600.00,card
2026-05-05,7500.00,card
2026-05-05,1900.00,juppiter
2026-05-05,5600.00,juppiter
2026-05-05,3800.00,juppiter
2026-05-05,5700.00,card
